time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
140,0,0,0,0,0,0.0924,162,0,0,0,0,0,0,0,4590,0,0,147,0,0
240,1,2,0.6,0.12,0.012,0.173559,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
340,1,0,0.42,0.18,0.0288,0.275189,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
440,1,0,0.294,0.2028,0.0462,0.246235,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
540,1,0,0.2058,0.2034,0.06192,0.170012,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
640,1,0,0.14406,0.191532,0.0748812,0.232366,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
740,1,0,0.100842,0.173394,0.0847325,0.215266,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
840,1,0,0.0705894,0.152833,0.0915425,0.251057,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
940,1,0,0.0494126,0.132149,0.0956032,0.234925,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1040,1,0,0.0345888,0.112637,0.0973066,0.269316,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1140,1,0,0.0242122,0.094952,0.0970711,0.257908,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1240,1,0,0.0169485,0.0793513,0.0952991,0.31076,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1340,1,0,0.011864,0.0658538,0.0923546,0.189478,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1440,1,1,0.308305,0.114344,0.0945535,0.186863,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1540,1,1,0.515813,0.194638,0.104562,0.248615,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1640,2,1,0.661069,0.287924,0.122898,0.429878,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1740,2,0,0.462749,0.322889,0.142897,0.6351,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
1840,2,0,0.323924,0.323096,0.160917,1.54307,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
1940,2,0,0.226747,0.303826,0.175208,0.598646,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
2040,2,0,0.158723,0.274805,0.185168,0.519261,29,0,0,0,0,0,0,0,4603,0,0,147,0,0
2140,2,0,0.111106,0.242066,0.190858,0.474198,33,0,0,0,0,0,0,0,4603,0,0,147,0,0
2240,2,0,0.0777741,0.209207,0.192693,0.410962,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
2340,2,0,0.0544419,0.178254,0.191249,0.43281,33,0,0,0,0,0,0,0,4603,0,0,147,0,0
2440,2,0,0.0381093,0.150225,0.187146,0.433605,33,0,0,0,0,0,0,0,4603,0,0,147,0,0
2540,2,0,0.0266765,0.125516,0.180983,0.64856,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
2640,2,0,0.0186736,0.104147,0.1733,0.58829,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
2740,2,0,0.0130715,0.085932,0.164563,0.587952,33,0,0,0,0,0,0,0,4603,0,0,147,0,0
2840,2,0,0.00915005,0.0705756,0.155164,0.597088,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
2940,2,0,0.00640503,0.0577415,0.145422,0.484281,30,0,0,0,0,0,0,0,4603,0,0,147,0,0
