time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
143,1,0,0,0,0,0.1278,238,0,0,0,0,0,0,0,3752,0,0,139,0,0
243,2,0,0,0,0,0.390309,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
343,2,0,0,0,0,0.419937,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
443,2,0,0,0,0,0.450574,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
543,2,0,0,0,0,0.606186,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
643,2,0,0,0,0,0.476295,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
743,2,0,0,0,0,0.528846,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
843,2,0,0,0,0,0.386858,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
943,2,0,0,0,0,0.348943,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1043,2,51,15.3,3.06,0.306,0.472292,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1143,2,1,11.01,4.65,0.7404,0.302818,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1243,2,0,7.707,5.2614,1.1925,0.405369,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1343,3,0,5.3949,5.2881,1.60206,0.392364,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1443,3,0,3.77643,4.98577,1.94043,0.620819,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1543,3,0,2.6435,4.51731,2.19812,0.668388,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1643,3,0,1.85045,3.98394,2.3767,0.581865,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1743,3,0,1.29532,3.44622,2.48365,0.655088,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1843,3,0,0.906721,2.93832,2.52912,0.376482,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
1943,3,0,0.634705,2.47759,2.52397,0.556691,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2043,3,0,0.444293,2.07093,2.47866,0.615022,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2143,3,0,0.311005,1.71895,2.40269,0.348034,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2243,3,0,0.217704,1.4187,2.30429,0.57468,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2343,3,0,0.152393,1.16544,2.19041,0.388793,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2443,3,0,0.106675,0.953686,2.06673,0.486947,32,0,0,0,0,0,0,0,3765,0,0,139,0,0
2543,3,0,0.0746723,0.777883,1.93785,0.774821,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2643,3,0,0.0522706,0.63276,1.80734,0.425257,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2743,3,0,0.0365895,0.513526,1.67796,0.454613,29,0,0,0,0,0,0,0,3765,0,0,139,0,0
2843,3,4,1.22561,0.655944,1.57576,2.38107,32,10.424,0,0.36,0,0,2.72,0,70,10,0,139,0,0
2943,3,0,0.857929,0.696341,1.48782,1.90697,31,3.22116,0.2304,0.034597,0,0,5.62022,0,53,11,0,139,0,0
3043,3,1,0.90055,0.737183,1.41275,2.83116,33,2.49645,0.0114524,0.331281,0,0,4.97567,0,55,8,0,139,0,0
3143,3,0,0.630385,0.715823,1.34306,2.33512,33,2.15874,0.0945039,0.00381941,0,0,4.70732,0,51,13,0,139,0,0
3243,3,1,0.74127,0.720912,1.28084,1.88622,33,2.30387,0.0837893,0.0335985,0,0,4.9605,0,48,8,0,139,0,0
3343,3,0,0.518889,0.680508,1.22081,2.31338,36,2.37848,0.185286,0.0220708,0,0,5.42301,0,56,8,0,139,0,0
3443,3,0,0.363222,0.617051,1.16043,1.86969,33,2.67648,0.157956,0.027098,0,0,6.32938,0,58,9,0,139,0,0
3543,3,0,0.254255,0.544492,1.09884,1.77833,32,2.50942,0.264966,0.12282,0,0,5.71247,0,41,8,0,139,0,0
3643,3,0,0.177979,0.471189,1.03608,1.91564,38,2.455,0.0879448,0.161416,0,0,6.84773,0,56,10,0,139,0,0
3743,3,0,0.124585,0.401868,0.972655,1.92064,35,2.67245,0.145357,0.162186,0,0,5.99284,0,55,10,0,139,0,0
3843,3,0,0.0872096,0.338937,0.909283,1.74111,32,2.17054,0.092392,0.00186988,0.00703688,0,5.33838,0,51,9,0,139,0,0
3943,4,1,0.361047,0.343359,0.85269,1.7029,33,2.2095,0.0313361,0.240341,8.11297e-005,0,5.4028,0,34,8,0,139,0,0
4043,4,0,0.252733,0.325233,0.799945,2.25322,30,1.76524,0.286345,0.0193971,9.35362e-007,0,5.71518,0,34,8,0,139,0,0
4143,4,1,0.476913,0.355569,0.755507,2.85003,33,2.17318,0.19268,0.0823858,1.0784e-008,0.0045036,5.84218,0,29,6,0,140,0,0
4243,4,0,0.333839,0.351223,0.715079,2.79567,34,2.21827,0.185533,0.00455273,1.24331e-010,5.1923e-005,5.9299,0,29,7,0,139,0,0
4343,4,0,0.233687,0.327716,0.676342,3.30464,33,1.90659,0.0760427,0.0848548,1.43344e-012,5.98632e-007,5.8432,0,34,6,0,137,0,0
4443,5,4,1.36358,0.534889,0.662197,4.11851,31,1.95587,0.10688,0.00097831,1.65264e-014,6.90176e-009,8.28844,0,32,7,0,139,0,0
4543,5,0,0.954507,0.618813,0.657859,3.12386,37,2.63565,0.141631,0.00704815,1.90537e-016,7.95719e-011,5.70398,0,32,7,0,137,0,0
4643,5,1,0.968155,0.688681,0.660941,3.20669,32,3.14715,0.138429,8.12597e-005,2.19674e-018,9.17401e-013,5.55396,0,34,6,0,137,0,0
4743,5,0,0.677708,0.686487,0.663495,3.83831,31,1.75174,0.00159598,0.0679224,2.53267e-020,1.05769e-014,6.29805,0,26,5,0,137,0,0
