time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
140,9,0,0,0,0,0.2526,181,0,0,0,0,0,0,0,3752,0,0,143,0,0
240,9,0,0,0,0,1.20703,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
340,9,0,0,0,0,0.710324,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
440,10,0,0,0,0,0.939892,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
540,10,0,0,0,0,1.22223,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
640,10,0,0,0,0,1.10814,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
740,10,0,0,0,0,1.35429,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
840,9,0,0,0,0,0.829005,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
940,9,0,0,0,0,1.43421,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1040,9,0,0,0,0,1.51273,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1140,9,0,0,0,0,0.900814,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1240,9,0,0,0,0,0.759991,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1340,9,0,0,0,0,0.881225,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1440,9,1,0.3,0.06,0.006,1.73344,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1540,9,0,0.21,0.09,0.0144,0.998864,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1640,9,0,0.147,0.1014,0.0231,1.29007,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1740,9,0,0.1029,0.1017,0.03096,0.973816,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1840,9,0,0.07203,0.095766,0.0374406,0.907017,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
1940,9,0,0.050421,0.086697,0.0423662,1.22903,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2040,9,0,0.0352947,0.0764165,0.0457713,1.10365,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2140,9,0,0.0247063,0.0660745,0.0478016,0.884478,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2240,9,0,0.0172944,0.0563185,0.0486533,1.01502,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2340,9,0,0.0121061,0.047476,0.0485356,1.01218,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2440,9,0,0.00847426,0.0396756,0.0476496,1.26299,32,0,0,0,0,0,0,0,3765,0,0,143,0,0
2540,9,0,0.00593198,0.0329269,0.0461773,1.08078,32,0,0,0,0,0,0,0,3765,0,0,143,0,0
2640,9,0,0.00415239,0.027172,0.0442768,0.953159,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
2740,9,0,0.00290667,0.0223189,0.042081,0.761363,32,0,0,0,0,0,0,0,3765,0,0,143,0,0
2840,9,0,0.00203467,0.0182621,0.0396991,1.28723,32,0,0,0,0,0,0,0,3765,0,0,143,0,0
2940,10,0,0.00142427,0.0148945,0.0372186,1.10056,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
3040,10,0,0.000996988,0.012115,0.0347083,1.71739,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
3140,10,0,0.000697891,0.00983159,0.0322206,1.40644,32,0,0,0,0,0,0,0,3765,0,0,143,0,0
3240,10,0,0.000488524,0.00796298,0.0297948,1.41169,36,0,0,0,0,0,0,0,3765,0,0,143,0,0
3340,10,0,0.000341967,0.00643878,0.0274592,2.53176,29,0,0,0,0,0,0,0,3765,0,0,143,0,0
