time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
132,1,0,0,0,0,0.1446,163,0,0,0,0,0,0,0,3752,0,0,135,0,0
232,1,0,0,0,0,0.197984,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
332,1,0,0,0,0,0.176932,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
432,1,0,0,0,0,0.383331,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
532,1,0,0,0,0,0.22207,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
632,1,0,0,0,0,0.245081,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
732,1,0,0,0,0,0.268264,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
832,1,0,0,0,0,0.25169,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
932,1,0,0,0,0,0.365498,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1032,1,0,0,0,0,0.228632,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1132,1,0,0,0,0,0.330988,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1232,1,0,0,0,0,0.313638,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1332,1,0,0,0,0,0.234232,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1432,1,0,0,0,0,0.182054,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1532,1,0,0,0,0,0.23823,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1632,1,0,0,0,0,0.230071,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1732,1,0,0,0,0,0.274869,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1832,1,0,0,0,0,0.215365,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
1932,1,0,0,0,0,0.237037,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2032,1,0,0,0,0,0.229122,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2132,1,0,0,0,0,0.26547,32,0,0,0,0,0,0,0,3765,0,0,135,0,0
2232,1,0,0,0,0,0.229196,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2332,1,0,0,0,0,0.211833,32,0,0,0,0,0,0,0,3765,0,0,135,0,0
2432,1,0,0,0,0,0.203222,32,0,0,0,0,0,0,0,3765,0,0,135,0,0
2532,1,0,0,0,0,0.307579,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2632,1,0,0,0,0,0.198735,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2732,1,0,0,0,0,0.177234,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
2832,1,4,1.2,0.24,0.024,0.284755,29,0,0,0,0,0,0,0,3765,0,0,135,0,0
