time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
142,1,0,0,0,0,0.0528,352,0,0,0,0,0,0,0,3062,0,0,125,0,0
242,1,0,0,0,0,0.211988,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
342,1,0,0,0,0,0.254853,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
442,1,0,0,0,0,0.234621,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
542,1,0,0,0,0,0.229574,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
642,1,0,0,0,0,0.304326,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
742,1,0,0,0,0,0.243945,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
842,1,0,0,0,0,0.204234,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
942,1,0,0,0,0,0.26684,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
1042,1,0,0,0,0,0.345442,28,0,0,0,0,0,0,0,3075,0,0,125,0,0
