time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
135,6,0,0,0,0,0.5664,322,0,0,0,0,0,0,0,2460,0,0,122,0,0
235,6,0,0,0,0,0.603877,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
335,7,0,0,0,0,0.601992,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
435,7,0,0,0,0,0.58913,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
535,7,0,0,0,0,0.666626,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
635,7,0,0,0,0,1.23082,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
735,7,0,0,0,0,0.86155,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
835,7,0,0,0,0,0.700271,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
935,7,0,0,0,0,0.602938,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
1035,7,0,0,0,0,0.701686,30,0,0,0,0,0,0,0,2473,0,0,122,0,0
1135,7,5,1.5,0.3,0.03,2.76929,30,4.218,0,0.559885,0,0,4.03104,0,292,8,0,122,0,0
1235,7,2,1.65,0.57,0.084,3.37721,30,2.33269,0.2,0.0165881,0,0,4.89499,0,63,8,0,122,0,0
1335,8,1,1.455,0.747,0.1503,3.82906,33,1.55511,0.0414898,0.0697999,0,0,5.37983,0,35,5,0,122,0,0
1435,8,1,1.3185,0.8613,0.2214,3.15903,30,1.91857,0.0142222,0.226341,0,0,5.09711,0,35,5,0,122,0,0
1535,8,3,1.82295,1.05363,0.304623,3.72572,31,2.9475,0.000163971,0.16261,0,0,4.98904,0,35,6,0,122,0,0
1635,8,0,1.27607,1.09812,0.383972,3.77805,32,1.6404,0.176544,0.204757,0,0,6.87403,0,259,5,0,122,0,0
1735,8,0,0.893246,1.05714,0.451289,3.98115,33,1.86506,0.11751,0.118638,0,0,5.36309,0,38,6,0,122,0,0
1835,8,0,0.625272,0.970769,0.503237,4.19185,32,2.05212,0.120251,0.0013678,0,0,4.99896,0,37,6,0,122,0,0
1935,8,2,1.03769,0.984153,0.551329,4.49068,33,3.35067,0.0627028,0.115715,0,0,5.1292,0,38,7,0,122,0,0
2035,8,1,1.02638,0.992599,0.595456,4.76881,30,2.30569,0.320701,0.00133411,0,0,5.23098,0,38,6,0,122,0,0
2135,8,0,0.718468,0.937773,0.629688,4.72815,31,1.37961,0.146015,0.360015,0,0,5.0207,0,38,6,0,123,0,0
2235,8,0,0.502928,0.850804,0.651799,5.09535,37,1.67167,0.125787,0.0178946,0,0,5.13442,0.2,37,6,0,124,0,0
2335,8,0,0.352049,0.751053,0.661725,5.94478,31,1.72613,0.0971141,0.279479,0,0,5.04859,0.2,35,7,0,122,0,0
2435,8,0,0.246435,0.650129,0.660565,4.64629,30,1.45633,0.0391777,0.00322217,0,0,5.11862,0.2,35,5,0,122,0,0
2535,8,0,0.172504,0.554604,0.649969,5.12646,31,1.55641,0.227295,0.0419802,0,0,5.56707,0.2,35,5,0,122,0,0
2635,8,0,0.120753,0.467834,0.631755,4.51357,31,1.89162,0.0418045,0.160484,0,0,5.2216,0.2,41,8,0,122,0,0
2735,8,0,0.0845271,0.391173,0.607697,4.44416,35,1.74841,0.0933971,0.12985,0,0,5.4547,0.2,35,6,0,122,0,0
2835,8,0,0.0591689,0.324772,0.579405,4.43163,31,2.71384,0.234631,0.0130375,0,0,5.15313,0.2,57,8,0,123,0,0
2935,8,0,0.0414183,0.268101,0.548274,4.40918,30,2.35444,0.123809,0.00825679,0,0,5.45004,0.2,53,6,0,121,0,0
3035,8,2,0.628993,0.34028,0.527475,6.32921,32,2.88455,0.234982,0.0379339,0,0,4.92333,0.2,962,6,0,120,0,0
3135,8,0,0.440295,0.360283,0.510756,4.88927,30,2.80078,0.266632,0.160437,0,0,5.08182,0.2,41,9,0,120,0,0
3235,9,2,0.908206,0.469867,0.506667,5.46099,29,2.64227,0.0492949,0.0673857,0,0,5.42441,0.2,44,7,0,120,0,0
3335,9,1,0.935745,0.563043,0.512304,5.28481,33,3.02969,0.0115635,0.12464,0,0,5.11624,0.2,42,6,0,120,0,0
3435,9,0,0.655021,0.581438,0.519218,5.46572,33,2.68892,0.226366,0.001437,0,0,7.42938,0.2,44,7,0,118,0,0
3535,9,0,0.458515,0.556854,0.522981,5.97598,30,2.71544,0.011617,1.65675e-005,0,0,5.28699,0.2,41,7,0,118,0,0
3635,9,0,0.32096,0.509675,0.521651,7.54372,30,2.59557,0.27022,0.136796,0,0,5.76856,0.2,42,7,0,118,0,0
