time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
131,1,0,0,0,0,0.177,159,0,0,0,0,0,0,0,3062,0,0,118,0,0
231,2,2,0.6,0.12,0.012,0.353913,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
331,2,0,0.42,0.18,0.0288,0.560308,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
431,2,0,0.294,0.2028,0.0462,0.337179,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
531,2,0,0.2058,0.2034,0.06192,0.506131,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
631,2,0,0.14406,0.191532,0.0748812,0.561727,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
731,2,0,0.100842,0.173394,0.0847325,0.619785,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
831,2,0,0.0705894,0.152833,0.0915425,0.657389,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
931,2,0,0.0494126,0.132149,0.0956032,0.470398,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1031,2,0,0.0345888,0.112637,0.0973066,0.499965,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1131,2,0,0.0242122,0.094952,0.0970711,0.399975,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1231,2,0,0.0169485,0.0793513,0.0952991,0.49624,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1331,2,0,0.011864,0.0658538,0.0923546,0.70019,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1431,2,0,0.00830477,0.054344,0.0885535,0.394753,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1531,2,0,0.00581334,0.0446379,0.084162,0.518919,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1631,2,0,0.00406934,0.0365242,0.0793982,0.488913,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1731,2,0,0.00284854,0.029789,0.0744373,0.476565,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1831,2,0,0.00199398,0.02423,0.0694165,0.555098,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
1931,2,0,0.00139578,0.0196632,0.0644412,0.373978,28,0,0,0,0,0,0,0,3075,0,0,118,0,0
