time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
128.5,3,0,0,0,0,0.3432,159,0,0,0,0,0,0,0,2460,0,0,114,0,0
228.5,3,0,0,0,0,0.649665,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
328.5,3,0,0,0,0,0.409085,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
428.5,2,0,0,0,0,0.303497,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
528.5,2,0,0,0,0,0.633155,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
628.5,4,0,0,0,0,0.747989,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
728.5,4,43,12.9,2.58,0.258,0.780293,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
828.5,4,0,9.03,3.87,0.6192,0.938782,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
928.5,3,0,6.321,4.3602,0.9933,0.31359,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
1028.5,4,0,4.4247,4.3731,1.33128,0.477407,28,0,0,0,0,0,0,0,2473,0,0,114,0,0
1128.5,4,4,4.29729,4.35794,1.63395,1.71629,30,6.4288,0,0.16,0,0,2.1056,0,60,8,0,114,0,0
1228.5,4,0,3.0081,4.08797,1.87935,2.3904,31,2.2505,0.1024,0.0190245,0,0,5.11397,0,40,8,0,114,0,0
1328.5,4,0,2.10567,3.69151,2.06056,1.78011,35,1.38135,0.103581,0.0210001,0,0.08192,4.83193,0,33,5,0,114,0,0
1428.5,4,1,1.77397,3.308,2.18531,1.98203,33,1.40872,0.201194,0.102642,0,0.000944474,5.37971,0,33,5,0,114,0,0
1528.5,5,1,1.54178,2.95476,2.26225,1.90698,32,1.1206,0.173138,0.0431264,0,1.0889e-005,4.94704,0,33,5,0,114,0,0
1628.5,5,0,1.07925,2.57966,2.29399,2.43185,34,1.40159,0.0262129,0.000497214,0,1.25542e-007,4.65791,0,33,5,0,114,0,0
1728.5,5,0,0.755472,2.21482,2.28608,2.07322,34,1.78328,0.00733909,0.0419488,0,1.4474e-009,5.61673,0,41,7,0,114,0,0
1828.5,5,0,0.52883,1.87762,2.24523,1.9805,32,1.55265,0.00296692,0.0273272,0,1.66874e-011,5.39408,0,38,6,0,114,0,0
1928.5,5,0,0.370181,1.57613,2.17832,2.09949,33,1.79588,0.265317,0.0217899,0,1.92393e-013,5.2389,0,37,6,0,114,0,0
2028.5,5,0,0.259127,1.31273,2.09176,2.5982,33,1.66328,0.00305889,0.0217261,0,2.21814e-015,5.43177,0,36,6,0,114,0,0
2128.5,5,0,0.181389,1.08646,1.99123,2.93154,32,1.33929,0.0956992,0.0174304,0,2.55734e-017,5.06864,0,36,6,0,114,0,0
2228.5,5,0,0.126972,0.894565,1.88157,2.09374,32,1.12409,0.214847,0.166856,0,2.94842e-019,5.47286,0,34,5,0,114,0,0
2328.5,5,0,0.0888805,0.733428,1.76675,2.0679,33,1.64847,0.0779745,0.00480602,0,3.3993e-021,5.28622,0,40,6,0,114,0,0
2428.5,5,0,0.0622163,0.599186,1.65,2.23896,31,1.87505,0.00652849,0.334404,0,3.91912e-023,5.27018,0,51,8,0,114,0,0
2528.5,5,0,0.0435514,0.488059,1.5338,2.64946,30,1.90576,0.15681,0.0734641,0,4.51844e-025,5.49166,0,37,6,0,114,0,0
2628.5,5,0,0.030486,0.396544,1.42008,2.07783,34,1.58303,0.211727,0.194401,0,5.20941e-027,5.06021,0,36,6,0,114,0,0
2728.5,5,0,0.0213402,0.321504,1.31022,1.53556,32,1.64625,0.0531754,0.0078708,0,6.00605e-029,5.52465,0,40,7,0,114,0,0
2828.5,5,0,0.0149381,0.26019,1.20522,2.2369,30,1.99922,0.106198,9.07442e-005,0,6.9245e-031,6.17178,0,46,7,0,114,0,0
2928.5,5,0,0.0104567,0.210244,1.10572,2.30121,32,1.94831,0.106507,0.271167,0,7.98341e-033,7.96655,0,48,7,0,114,0,0
3028.5,5,0,0.00731969,0.169659,1.01211,1.84411,33,2.92867,0.24603,0.00312634,0,9.20425e-035,5.14118,0,39,7,0,114,0,0
3128.5,5,0,0.00512378,0.136752,0.924577,2.01831,30,1.76918,0.014377,0.118393,0.00360288,1.06118e-036,5.36219,0,39,6,0,114,0,0
3228.5,5,0,0.00358665,0.110119,0.843131,2.65763,33,1.64971,0.200166,0.161365,4.15384e-005,1.22346e-038,5.35731,0,37,7,0,114,0,0
