time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
131,6,0,0,0,0,0.5658,160,0,0,0,0,0,0,0,3062,0,0,112,0,0
231,6,0,0,0,0,0.791538,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
331,6,0,0,0,0,0.568277,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
431,6,0,0,0,0,0.662677,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
531,6,0,0,0,0,1.3292,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
631,6,0,0,0,0,2.55795,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
731,6,0,0,0,0,2.92034,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
831,6,0,0,0,0,1.28603,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
931,6,0,0,0,0,1.88929,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1031,6,0,0,0,0,1.52765,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1131,6,0,0,0,0,1.39362,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1231,6,0,0,0,0,1.71247,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1331,6,0,0,0,0,1.66747,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1431,6,0,0,0,0,1.37802,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1531,6,0,0,0,0,2.68661,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1631,6,0,0,0,0,1.71097,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1731,6,0,0,0,0,1.37899,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1831,6,0,0,0,0,1.68992,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
1931,5,0,0,0,0,1.44205,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2031,5,0,0,0,0,2.24703,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2131,5,0,0,0,0,1.4743,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2231,5,0,0,0,0,1.81423,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2331,5,0,0,0,0,2.62431,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2431,5,0,0,0,0,2.84471,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2531,5,0,0,0,0,1.60026,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2631,5,0,0,0,0,1.49454,31,0,0,0,0,0,0,0,3075,0,0,112,0,0
2731,5,0,0,0,0,2.3359,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2831,5,0,0,0,0,1.87548,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
2931,5,0,0,0,0,2.63583,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3031,5,0,0,0,0,1.98656,31,0,0,0,0,0,0,0,3075,0,0,112,0,0
3131,5,0,0,0,0,3.51227,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3231,5,0,0,0,0,3.90255,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3331,5,0,0,0,0,2.05551,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3431,5,0,0,0,0,2.09452,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3531,5,0,0,0,0,2.1324,31,0,0,0,0,0,0,0,3075,0,0,112,0,0
3631,5,0,0,0,0,2.38138,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3731,5,0,0,0,0,3.1435,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3831,3,0,0,0,0,1.17783,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
3931,3,0,0,0,0,1.06366,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
4031,3,0,0,0,0,1.15716,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
4131,3,0,0,0,0,1.12799,28,0,0,0,0,0,0,0,3075,0,0,112,0,0
