time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
134.5,2,0,0,0,0,0.3522,469,0,0,0,0,0,0,0,3752,0,0,137,0,0
234.5,3,0,0,0,0,0.483649,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
334.5,3,0,0,0,0,0.587921,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
434.5,4,0,0,0,0,0.57817,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
534.5,5,0,0,0,0,0.546588,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
634.5,5,0,0,0,0,0.792605,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
734.5,5,0,0,0,0,1.17549,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
834.5,5,0,0,0,0,0.993102,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
934.5,5,0,0,0,0,0.605119,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
1034.5,5,0,0,0,0,0.55791,30,0,0,0,0,0,0,0,3765,0,0,137,0,0
1134.5,5,4,1.2,0.24,0.024,2.95361,40,5.82047,0,0.2,0,0,4.88127,0,80,10,0,137,0,0
1234.5,5,0,0.84,0.36,0.0576,2.86632,38,2.319,0.298995,0.0230886,0,0.0087961,4.63066,0,38,7,0,137,0,0
1334.5,5,1,0.888,0.4656,0.0984,3.56002,41,1.83214,0.0725861,0.0338206,0,0.000101412,6.08943,0,38,7,0,137,0,0
1434.5,5,0,0.6216,0.4968,0.13824,4.19064,38,1.73125,0.0199385,0.346448,0,1.1692e-006,5.1508,0,40,8,0,137,0,0
1534.5,5,0,0.43512,0.484464,0.172862,3.58333,40,1.8518,0.0984445,0.055195,0,1.348e-008,5.04858,0,38,7,0,137,0,0
1634.5,5,0,0.304584,0.448488,0.200425,4.41475,35,1.9677,0.133639,0.214081,0,1.55414e-010,5.71354,0,38,7,0,137,0,0
1734.5,6,1,0.513209,0.461432,0.226526,4.95981,39,2.23548,0.0939203,0.00535049,0,1.7918e-012,7.40592,0,42,8,0,137,0,0
1834.5,6,3,1.25925,0.620995,0.265973,2.86417,40,2.2188,0.00108283,0.194836,0.0524288,2.06581e-014,5.13619,0,43,9,0,137,0,0
1934.5,6,0,0.881472,0.673091,0.306684,3.12235,41,1.87817,0.168809,0.058278,0.000604463,2.38171e-016,6.22696,0,37,9,0,137,0,0
2034.5,6,0,0.617031,0.661879,0.342204,3.75652,39,1.87022,0.104346,0.176171,6.96899e-006,2.74593e-018,8.40035,0,38,8,0,137,0,0
2134.5,6,0,0.431921,0.615887,0.369572,2.93576,36,2.12196,0.0280466,0.0291354,8.0347e-008,3.16584e-020,5.7159,0,38,8,0,137,0,0
2234.5,6,0,0.302345,0.553179,0.387933,3.03335,41,2.04432,0.0149214,0.160336,9.26338e-010,3.64997e-022,7.68305,0,34,8,0,137,0,0
2334.5,5,0,0.211641,0.484871,0.397627,2.52547,41,2.05451,0.197146,0.00184855,1.068e-011,4.20813e-024,5.76504,0,36,8,0,137,0,0
