time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
138,2,0,0,0,0,0.2106,161,0,0,0,0,0,0,0,2460,0,0,143,0,0
238,2,0,0,0,0,0.395868,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
338,2,0,0,0,0,0.416295,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
438,2,0,0,0,0,0.521781,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
538,2,0,0,0,0,0.443582,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
638,2,0,0,0,0,0.511053,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
738,2,0,0,0,0,0.374518,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
838,2,0,0,0,0,0.495328,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
938,2,0,0,0,0,0.600075,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
1038,2,0,0,0,0,0.652173,30,0,0,0,0,0,0,0,2473,0,0,143,0,0
1138,2,4,1.2,0.24,0.024,1.75876,41,4.68992,0,0.065536,0,0,4.52195,0,95,14,0,143,0,0
1238,2,0,0.84,0.36,0.0576,2.17019,35,2.66987,0.065536,0.21685,0,0,5.01912,0,46,9,0,143,0,0
1338,2,0,0.588,0.4056,0.0924,1.89278,31,2.09512,0.0304814,0.00610299,0,0,6.4561,0,46,9,0,143,0,0
1438,2,1,0.7116,0.4668,0.12984,1.7528,34,2.3678,0.0359911,7.03627e-005,0,0,6.32445,0,46,9,0,143,0,0
1538,2,0,0.49812,0.473064,0.164162,1.68051,32,2.1742,0.00401783,0.160001,0,0,6.32718,0,47,10,0,143,0,0
1638,2,1,0.648684,0.508188,0.198565,1.80993,34,2.04011,0.0268899,0.0336226,0,0.136796,5.36897,0,46,9,0,143,0,0
1738,2,0,0.454079,0.497366,0.228445,2.25711,34,2.41756,0.0288217,0.000387642,0,0.00157715,6.16647,0,48,10,0,143,0,0
1838,2,0,0.317855,0.461464,0.251747,2.47944,31,2.34178,0.038171,0.296801,0,1.81833e-005,5.74294,0,50,11,0,143,0,0
1938,2,0,0.222499,0.413671,0.267939,1.84475,36,2.38102,0.148231,0.1894,0,2.0964e-007,6.51408,0,53,12,0,143,0,0
2038,2,0,0.155749,0.362087,0.277354,1.95586,34,2.23309,0.119674,0.0166064,0,0.041943,6.77206,0,45,10,0,143,0,0
2138,2,0,0.109024,0.311474,0.280766,2.00435,38,2.14548,0.0669158,0.00898756,0,0.000483571,7.28663,0,45,10,0,143,0,0
