time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
136.5,11,0,0,0,0,1.1376,178,0,0,0,0,0,0,0,3902,0,0,124,0,0
236.5,11,0,0,0,0,0.893533,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
336.5,11,0,0,0,0,0.823499,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
436.5,11,0,0,0,0,0.855806,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
536.5,11,0,0,0,0,1.9157,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
636.5,11,0,0,0,0,1.12028,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
736.5,11,0,0,0,0,1.00131,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
836.5,11,0,0,0,0,0.913076,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
936.5,11,0,0,0,0,1.32846,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
1036.5,11,0,0,0,0,1.20467,28,0,0,0,0,0,0,0,3915,0,0,124,0,0
1136.5,11,7,2.1,0.42,0.042,5.14518,45,5.14083,0,0.169943,0,0,4.03518,0,68,8,0,124,0,0
1236.5,11,2,2.07,0.75,0.1128,9.58058,38,2.02289,0.237157,0.00195931,0,0.0171799,4.37188,0,63,8,0,124,0,0
1336.5,11,0,1.449,0.8898,0.1905,7.89359,39,1.4667,0.0983981,2.25893e-005,0,0.000198071,4.54869,0,35,5,0,124,0,0
1436.5,11,1,1.3143,0.9747,0.26892,8.69935,39,3.49682,0.174878,0.461121,0,2.2836e-006,4.53701,0,83,6,0,124,0,0
1536.5,11,0,0.92001,0.963762,0.338404,7.19528,39,4.08827,0.331235,0.142112,0,2.63281e-008,4.92095,0,70,6,0,124,0,0
1636.5,11,0,0.644007,0.899811,0.394545,9.04023,42,4.09199,0.150242,0.206142,0,3.03543e-010,4.44446,0,64,6,0,124,0,0
1736.5,11,0,0.450805,0.81001,0.436091,6.93174,41,2.87426,0.463449,0.00597954,0,3.49961e-012,4.62016,0,46,8,0,124,0,0
1836.5,11,3,1.21556,0.891121,0.481594,8.90549,43,1.83043,0.279391,0.0935294,0,4.03478e-014,5.18164,0,73,8,0,124,0,0
1936.5,11,0,0.850894,0.883075,0.521742,7.60754,40,2.50733,0.173354,0.00107832,0,4.65178e-016,5.33716,0,38,7,0,124,0,0
2036.5,11,0,0.595626,0.825586,0.552127,8.84201,39,2.01471,0.112084,0.026856,0,5.36314e-018,5.07628,0,37,6,0,124,0,0
2136.5,11,0,0.416938,0.743856,0.5713,6.55398,39,1.80132,0.205483,0.000309628,0,6.18328e-020,5.05331,0,37,6,0,124,0,0
2236.5,11,3,1.19186,0.833456,0.597515,7.61342,39,1.62824,0.173364,0.180432,0,7.12884e-022,5.22162,0,55,6,0,126,0,0
2336.5,11,1,1.1343,0.893625,0.627126,8.28599,39,2.24063,0.301951,0.00770975,0,8.219e-024,6.46794,0,38,7,0,124,0,0
2436.5,11,1,1.09401,0.933702,0.657784,10.8845,39,1.64075,0.069654,0.128089,0,9.47586e-026,5.18486,0,58,5,0,122,0,0
2536.5,11,3,1.66581,1.08012,0.700018,9.85888,37,1.37108,0.0343575,0.0371164,0,0.0056295,5.07885,0.2,35,5,0,124,0,0
2636.5,11,0,1.16606,1.09731,0.739747,9.77837,40,2.08423,0.0170207,0.042371,0,6.49038e-005,5.06933,0.2,53,5,0,122,0,0
2736.5,11,0,0.816245,1.0411,0.769882,8.42077,41,1.90146,0.0184437,0.0219633,0,7.4829e-007,5.32055,0.2,35,5,0,122,0,0
2836.5,11,2,1.17137,1.06715,0.799609,7.9998,38,1.69988,0.000212642,0.0338077,0,8.6272e-009,5.17931,0.2,35,5,0,122,0,0
