time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count
136,7,0,0,0,0,0.4746,159,0,0,0,0,0,0,0,2460,0,0,144,0,0
236,7,0,0,0,0,0.759064,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
336,7,0,0,0,0,0.684729,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
436,6,0,0,0,0,0.670211,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
536,6,0,0,0,0,0.662555,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
636,5,0,0,0,0,0.644242,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
736,4,2,0.6,0.12,0.012,0.435787,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
836,3,0,0.42,0.18,0.0288,0.365828,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
936,3,0,0.294,0.2028,0.0462,0.394036,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1036,3,0,0.2058,0.2034,0.06192,0.455378,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1136,3,0,0.14406,0.191532,0.0748812,0.45539,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1236,3,0,0.100842,0.173394,0.0847325,0.361741,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1336,3,0,0.0705894,0.152833,0.0915425,0.406067,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1436,3,0,0.0494126,0.132149,0.0956032,0.626894,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1536,3,0,0.0345888,0.112637,0.0973066,0.495546,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1636,3,0,0.0242122,0.094952,0.0970711,0.46356,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1736,3,0,0.0169485,0.0793513,0.0952991,0.566622,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1836,3,0,0.011864,0.0658538,0.0923546,0.460272,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
1936,3,0,0.00830477,0.054344,0.0885535,0.380376,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2036,3,0,0.00581334,0.0446379,0.084162,0.445312,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2136,3,0,0.00406934,0.0365242,0.0793982,0.621864,34,0,0,0,0,0,0,0,2473,0,0,144,0,0
2236,3,0,0.00284854,0.029789,0.0744373,0.62309,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2336,3,0,0.00199398,0.02423,0.0694165,0.457634,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2436,3,0,0.00139578,0.0196632,0.0644412,0.626672,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2536,3,0,0.000977048,0.015926,0.0595897,0.432466,34,0,0,0,0,0,0,0,2473,0,0,144,0,0
2636,3,0,0.000683933,0.0128776,0.0549185,0.515301,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2736,3,0,0.000478753,0.0103978,0.0504664,0.414659,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2836,3,0,0.000335127,0.00838526,0.0462583,0.421029,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
2936,3,0,0.000234589,0.00675512,0.042308,0.382683,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3036,3,0,0.000164212,0.00543694,0.0386209,0.436527,34,0,0,0,0,0,0,0,2473,0,0,144,0,0
3136,3,0,0.000114949,0.00437254,0.035196,0.384785,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3236,3,0,8.04641e-005,0.00351413,0.0320278,0.361674,37,0,0,0,0,0,0,0,2473,0,0,144,0,0
3336,3,0,5.63249e-005,0.00282257,0.0291073,0.423242,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3436,3,0,3.94274e-005,0.00226594,0.0264232,0.589519,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3536,3,0,2.75992e-005,0.00181827,0.0239627,0.352623,34,0,0,0,0,0,0,0,2473,0,0,144,0,0
3636,3,0,1.93194e-005,0.00145848,0.0217123,0.35699,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3736,3,0,1.35236e-005,0.00116949,0.019658,0.34789,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3836,3,0,9.46652e-006,0.000937485,0.0177859,0.359174,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
3936,3,0,6.62656e-006,0.000751313,0.0160825,0.358839,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4036,3,0,4.63859e-006,0.000601978,0.0145344,0.532678,40,0,0,0,0,0,0,0,2473,0,0,144,0,0
4136,3,0,3.24702e-006,0.000482232,0.0131292,0.366026,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4236,3,0,2.27291e-006,0.00038624,0.0118549,0.536941,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4336,3,0,1.59104e-006,0.00030931,0.0107003,0.434125,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4436,3,0,1.11373e-006,0.000247671,0.00965508,0.384882,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4536,3,0,7.79608e-007,0.000198293,0.0087094,0.417321,34,0,0,0,0,0,0,0,2473,0,0,144,0,0
4636,3,0,5.45726e-007,0.000158743,0.00785434,0.380099,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
4736,3,0,3.82008e-007,0.000127071,0.00708161,0.506551,31,0,0,0,0,0,0,0,2473,0,0,144,0,0
